"","RandomID","Age","Sex","BornAUS","AUDITCat","Variable1","Variable2","Variable3"
"243",213,19,1,0,"Moderate",28,19,40
"244",214,20,1,0,"Moderate",41,15,27
"245",216,21,0,0,"Moderate",33.3846153846154,18,14
"246",217,22,0,0,"Moderate",36,20,34
"247",220,22,1,0,"Moderate",32,21,35
"248",221,21,1,0,"Moderate",28,19,31
"249",225,21,1,0,"Moderate",22,20,34
"250",226,18,0,0,"Abstainer",31,19,23
"251",231,23,1,0,"Moderate",25,15,29
"252",232,20,0,0,"Abstainer",32,21,35
"253",235,21,1,1,"Moderate",28,21,37
"254",236,20,1,0,"Abstainer",31,19,31
"255",238,21,0,0,"Moderate",41,20,40
"256",240,20,1,1,"At Risk",22,19,35
"257",241,23,0,0,"Moderate",24,14,38
"258",242,21,1,1,"Moderate",21,20,34
"259",255,21,0,0,"Abstainer",20,16,34
"260",264,19,0,0,"Moderate",33,19,29
"261",265,23,1,0,"Moderate",26,22,19
"262",276,23,1,1,"Moderate",20,17,20
"263",278,23,1,0,"Abstainer",39,16,19
"264",279,20,0,0,"Moderate",25,17,20
"265",281,24,0,0,"Moderate",29,20,31
"266",286,21,0,0,"Abstainer",24,18,43
"267",287,20,0,0,"At Risk",20,21,36
"268",289,19,1,0,"At Risk",39,20,38
"269",290,20,1,0,"Moderate",23,23,34
"270",293,20,1,0,"At Risk",34,22,29
"271",296,21,1,0,"Abstainer",40,18,23
"272",298,18,1,0,"Moderate",36,21,30
"273",300,22,1,0,"At Risk",21,19,36
"274",302,21,1,0,"Moderate",26,17,35
"275",305,20,1,0,"Moderate",27,18,45
"276",324,19,1,1,"Moderate",39,18,34
"277",326,18,0,0,"Moderate",30,18,17
"278",332,25,1,0,"Abstainer",19,18,32
"279",333,20,1,0,"Moderate",17,18,42
"280",341,23,1,0,"Moderate",31,19,30
"281",344,24,1,0,"Abstainer",22,21,36
"282",350,19,1,0,"At Risk",43.0769230769231,19,22
"283",351,19,1,0,"Abstainer",18,20,41
"284",352,20,0,0,"Moderate",24,18,29
"285",356,22,1,0,"Abstainer",30,20,34
"286",364,18,1,0,"Moderate",21,18,46
"287",368,23,1,0,"Moderate",17,14,37
"288",369,20,1,0,"Moderate",33,23,27
"289",378,20,1,0,"Moderate",21,20,35
"290",379,21,1,0,"Moderate",30,18,25
"291",4,21,0,0,"Moderate",24,19,14
"292",8,19,1,0,"Moderate",25,21,20
"293",13,21,1,0,"Abstainer",24,18,32
"294",15,21,1,0,"Moderate",34.4615384615385,20,29
"295",22,23,1,0,"Abstainer",23,17,30
"296",28,18,1,0,"Abstainer",30,18,39
"297",31,22,0,0,"Moderate",27,15,23
"298",34,24,1,0,"Abstainer",38,19,24
"299",35,18,0,1,"Abstainer",30,18,28
"300",47,23,1,0,"Abstainer",48,16,15
"301",51,21,0,0,"Moderate",13,18,23
"302",63,19,1,0,"Abstainer",41,20,25
"303",65,19,1,0,"Moderate",29,20,26
"304",74,22,0,0,"Abstainer",19,17,35
"305",76,20,1,1,"Moderate",33,16,25
"306",79,19,0,0,"Moderate",43.0769230769231,20,20
"307",81,20,1,0,"Moderate",23,12,31
"308",90,20,1,0,"Moderate",35,17,18.8888888888889
"309",103,20,1,0,"Moderate",42,20,20
"310",104,20,1,0,"Moderate",24,19,20
"311",109,21,1,0,"Moderate",19,17,20
"312",110,21,1,0,"Moderate",29,17,22
"313",111,18,1,0,"Abstainer",16,17,31
"314",113,20,0,0,"Moderate",38,19,11
"315",122,21,1,0,"Moderate",46,16,18
"316",123,20,0,0,"Abstainer",48,18,23
"317",134,21,0,0,"At Risk",27,21,32
"318",140,19,1,0,"Abstainer",34.4615384615385,19,26
"319",145,21,1,0,"Moderate",30,14,24
