RandomID,Age,Sex,BornAUS,Variable1,Variable2,Variable3
223,22,1,0,27,17,30
229,21,1,0,27,18,46
243,20,1,0,37,16,28
246,24,1,0,25,15,21
254,24,1,0,31,20,20
263,22,1,0,28,19,30
269,23,1,0,37,17,31
272,24,1,0,27,19,24
273,21,1,1,34,19,29
282,21,1,0,31,17,20
283,20,1,0,40.92307692,21,13
295,20,1,1,30,21,28
309,20,1,0,30,20,15
311,20,1,0,43,21,31
314,19,1,0,26,16,39
315,19,1,0,28,17,19
325,20,1,0,25,16,24
328,21,1,0,34,19,21
330,20,1,0,18,19,21
339,22,1,0,14,15,33
343,20,1,0,30,18,41
346,20,1,0,18.30769231,17,33
349,21,0,0,27,17,38
357,19,1,0,28,21,42
362,19,1,0,24,16,37
366,23,0,0,18,18,31
367,22,1,0,24,14,43
370,19,1,1,30,20,33
371,19,1,0,33,20,22
374,19,0,0,44,17,16
33,19,1,0,32,23,19
59,20,1,0,36,21.6,23
93,20,0,0,37,21,14.44444444
132,22,1,0,12,16,33
149,20,1,0,22,20,18
170,19,1,0,32,16,28
174,18,1,0,31,19,13
292,22,1,0,28,15,31
301,19,1,0,16,16,33
307,18,1,0,30,20,31
321,19,1,0,31,14,17
323,24,1,0,37,15,25
342,20,1,0,30,20,39
353,18,1,0,20,22,34
376,20,0,0,34,19,18
10,21,1,1,35,18,21
36,20,1,0,37,16,14
37,19,0,0,28,23,24
147,20,1,0,22,19,19
316,18,1,0,39,23,15
